Date;Production
1962-01;267
1962-02;254
1962-03;290
1962-04;298
1962-05;330
1962-06;316
1962-07;290
1962-08;272
1962-09;258
1962-10;262
1962-11;251
1962-12;264
1963-01;272
1963-02;257
1963-03;296
1963-04;305
1963-05;337
1963-06;325
1963-07;299
1963-08;280
1963-09;264
1963-10;266
1963-11;256
1963-12;271
1964-01;285
1964-02;280
1964-03;312
1964-04;320
1964-05;349
1964-06;334
1964-07;308
1964-08;290
1964-09;274
1964-10;277
1964-11;269
1964-12;288
1965-01;298
1965-02;282
1965-03;322
1965-04;327
1965-05;355
1965-06;343
1965-07;318
1965-08;296
1965-09;279
1965-10;282
1965-11;273
1965-12;288
1966-01;307
1966-02;288
1966-03;334
1966-04;342
1966-05;368
1966-06;362
1966-07;333
1966-08;316
1966-09;300
1966-10;303
1966-11;293
1966-12;312
1967-01;323
1967-02;303
1967-03;346
1967-04;356
1967-05;380
1967-06;371
1967-07;348
1967-08;327
1967-09;309
1967-10;312
1967-11;299
1967-12;317
1968-01;325
1968-02;316
1968-03;352
1968-04;361
1968-05;389
1968-06;375
1968-07;355
1968-08;336
1968-09;318
1968-10;320
1968-11;307
1968-12;323
1969-01;333
1969-02;313
1969-03;356
1969-04;365
1969-05;395
1969-06;383
1969-07;363
1969-08;347
1969-09;329
1969-10;328
1969-11;313
1969-12;333
1970-01;340
1970-02;321
1970-03;366
1970-04;374
1970-05;402
1970-06;390
1970-07;371
1970-08;355
1970-09;336
1970-10;339
1970-11;323
1970-12;341
1971-01;365
1971-02;343
1971-03;390
1971-04;398
1971-05;427
1971-06;414
1971-07;394
1971-08;378
1971-09;358
1971-10;363
1971-11;346
1971-12;363
1972-01;375
1972-02;362
1972-03;404
1972-04;408
1972-05;436
1972-06;424
1972-07;406
1972-08;388
1972-09;367
1972-10;367
1972-11;347
1972-12;365
1973-01;372
1973-02;351
1973-03;401
1973-04;407
1973-05;434
1973-06;419
1973-07;400
1973-08;380
1973-09;356
1973-10;359
1973-11;345
1973-12;364
1974-01;376
1974-02;353
1974-03;403
1974-04;409
1974-05;440
1974-06;430
1974-07;412
1974-08;393
1974-09;370
1974-10;368
1974-11;351
1974-12;369
1975-01;378
1975-02;355
1975-03;405
1975-04;410
1975-05;438
1975-06;425
1975-07;406
1975-08;389
1975-09;371
1975-10;375
1975-11;362
1975-12;382
