weekday,produced,defective
Monday,73,7
Tuesday,75,10
Wednesday,86,7
Thursday,64,7
Friday,70,6
Monday,80,9
Tuesday,89,9
Wednesday,72,6
Thursday,72,7
Friday,66,5
Monday,79,9
Tuesday,77,10
Wednesday,67,8
Thursday,66,7
Friday,68,5
Monday,79,8
Tuesday,74,10
Wednesday,87,6
Thursday,72,5
Friday,60,6
Monday,62,9
Tuesday,91,10
Wednesday,87,6
Thursday,69,5
Friday,75,5
Monday,77,8
Tuesday,83,9
Wednesday,70,6
Thursday,61,5
Friday,72,6
Monday,81,8
Tuesday,78,10
Wednesday,66,6
Thursday,64,7
Friday,66,5
Monday,77,9
Tuesday,95,10
Wednesday,81,6
Thursday,77,7
Friday,67,4
Monday,67,7
Tuesday,80,8
Wednesday,69,6
Thursday,68,5
Friday,70,4
Monday,69,8
Tuesday,84,10
Wednesday,76,6
Thursday,61,6
Friday,75,5
Monday,80,7
Tuesday,87,10
Wednesday,69,8
Thursday,81,5
Friday,74,5
Monday,60,7
Tuesday,92,10
Wednesday,74,8
Thursday,65,5
Friday,63,5
Monday,66,9
Tuesday,79,9
Wednesday,66,6
Thursday,69,7
Friday,63,5
Monday,75,9
Tuesday,94,10
Wednesday,75,8
Thursday,64,5
Friday,57,5
Monday,69,9
Tuesday,90,8
Wednesday,70,7
Thursday,67,5
Friday,62,5
Monday,61,8
Tuesday,81,9
Wednesday,76,6
Thursday,70,6
Friday,72,4
Monday,72,7
Tuesday,74,10
Wednesday,67,6
Thursday,71,7
Friday,69,6
Monday,62,7
Tuesday,79,9
Wednesday,69,6
Thursday,77,6
Friday,70,6
Monday,76,8
Tuesday,87,9
Wednesday,83,8
Thursday,69,6
Friday,66,5
Monday,68,8
Tuesday,95,9
Wednesday,80,8
Thursday,70,7
Friday,71,5
Monday,59,7
Tuesday,79,10
Wednesday,67,8
Thursday,76,7
Friday,67,6
Monday,69,7
Tuesday,86,9
Wednesday,69,7
Thursday,82,6
Friday,55,5
Monday,80,7
Tuesday,77,8
Wednesday,74,7
Thursday,79,6
Friday,66,5
Monday,60,7
Tuesday,73,8
Wednesday,77,7
Thursday,76,6
Friday,59,5
Monday,80,8
Tuesday,78,10
Wednesday,77,8
Thursday,71,7
Friday,58,5
Monday,79,8
Tuesday,75,9
Wednesday,79,8
Thursday,68,6
Friday,55,4
Monday,72,8
Tuesday,85,9
Wednesday,78,6
Thursday,66,6
Friday,53,6
Monday,69,7
Tuesday,87,10
Wednesday,76,8
Thursday,61,5
Friday,74,4
Monday,81,7
Tuesday,74,10
Wednesday,86,7
Thursday,68,5
Friday,75,5
Monday,70,8
Tuesday,82,9
Wednesday,81,8
Thursday,62,5
Friday,67,5
Monday,77,8
